Name,Parameter,New Applink (https://perawallet.app/qr/perawallet/app/) - New Deeplink (perawallet://app/),"Old Applink (https://perawallet.app/qr/perawallet/) - Old Deeplink (""algorand://"", ""perawallet://"", ""wc://"", ""perawallet-wc://"")",Android Valid Since ,iOS Destination,Android Destination,Old Deeplink Test,Old Deeplink QR,Old Applink Test,Old Applink QR,New Deeplink Test,New Deeplink QR,New Applink Test,New Applink QR,NOTE
Add Contact,"address*, label",add-contact/?address=$ADDRESS&label=$LABEL,perawallet://$ADDRESS,0,AddContactVC,AddContactQrScannerFragment,perawallet://5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,perawallet://app/add-contact/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&label=HELLO%20WORLD%20LABEL,,https://perawallet.app/qr/perawallet/app/add-contact/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&label=HELLO%20WORLD%20LABEL,,You should scan this QR from the Add Contact page or Home page. 
Edit Contact,"address*, label",edit-contact/?address=$ADDRESS&label=$LABEL,perawallet://$ADDRESS,0,AddContactVC,EditContactQrScannerFragment,perawallet://5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,perawallet://app/edit-contact/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&label=HELLO%20WORLD%20LABEL,,https://perawallet.app/qr/perawallet/app/edit-contact/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&label=HELLO%20WORLD%20LABEL,,You should scan this QR from the Edit Contact page. 
Add Watch Account,"address*, label",register-watch-account/?address=$ADDRESS&label=$LABEL,perawallet://$ADDRESS,0,WatchAccountAdditionVC,RegisterWatchAccountQrScannerFragment,perawallet://5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,perawallet://app/add-watch-account/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/app/add-watch-account/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,You should scan this QR from the Add Watch Account page
Receiver Account Selection,"address*, label",receiver-account-selection/?address=$ADDRESS,perawallet://$ADDRESS,0,QRCreationVC,ReceiverAccountSelectionQrScannerFragment,perawallet://5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,perawallet://app/receiver-account-selection/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/app/receiver-account-selection/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,You should scan this QR from the Receiver Accoount Selection page
Adress Actions ,"address*, label",address-actions/?address=$ADDRESS&label=$LABEL,perawallet://$ADDRESS,0,QRScanOptionsVC,AccountsQrScannerFragment,perawallet://5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,perawallet://app/address-actions/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,https://perawallet.app/qr/perawallet/app/address-actions/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA,,You should scan this QR from the Home page
ALGO Transfer,"assetId*, receiverAddress*, amount*, note, xnote, label",asset-transfer/?assetId=0&receiverAddress=$ADDRESS&amount=$AMOUNT&note=$NOTE&xnote=$XNOTE&label=$LABEL,perawallet://$ADDRESS?amount=$AMOUNT&note=$NOTE,0,SendTransactionScreen,SendAlgoFragment,perawallet://5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA?amount=99999&note=HELLO%20WORLD%20NOTE,,https://perawallet.app/qr/perawallet/5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA?amount=99999&note=HELLO%20WORLD%20NOTE,,perawallet://app/asset-transfer/?assetId=0&receiverAddress=Z73KQDNF5X3OPYUJNKH77CWZTHAYBKDUYRJELNMVFKWWYUJH2V2Y54W4CM&amount=99999&note=HELLO%20WORLD%20NOTE&xnote=HELLO%20WORLD%20XNOTE&label=HELLO%20WORLD%20LABEL,,https://perawallet.app/qr/perawallet/app/asset-transfer/?assetId=0&receiverAddress=Z73KQDNF5X3OPYUJNKH77CWZTHAYBKDUYRJELNMVFKWWYUJH2V2Y54W4CM&amount=99999&note=HELLO%20WORLD%20NOTE&xnote=HELLO%20WORLD%20XNOTE&label=HELLO%20WORLD%20LABEL,,
Asset Transfer,"assetId*, receiverAddress*, amount*, note, xnote, label",asset-transfer/?assetId=$ASSET_ID&receiverAddress=$ADDRESS&amount=$AMOUNT&note=$NOTE&xnote=$XNOTE&label=$LABEL,perawallet://$ADDRESS?amount=$AMOUNT&asset=$ASSET_ID&xnote=$XNOTE,0,SendTransactionScreen,SendAlgoFragment or UnsupportedAddAssetTryLaterBottomSheet,perawallet://5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA?amount=99999&asset=31566704&xnote=HELLO%20WORLD%20XNOTE,,https://perawallet.app/qr/perawallet/5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA?amount=99999&asset=31566704&xnote=HELLO%20WORLD%20XNOTE,,perawallet://app/asset-transfer/?assetId=31566704&receiverAddress=Z73KQDNF5X3OPYUJNKH77CWZTHAYBKDUYRJELNMVFKWWYUJH2V2Y54W4CM&amount=99999&note=HELLO%20WORLD%20NOTE&xnote=HELLO%20WORLD%20XNOTE&label=HELLO%20WORLD%20LABEL,,https://perawallet.app/qr/perawallet/app/asset-transfer/?assetId=31566704&receiverAddress=Z73KQDNF5X3OPYUJNKH77CWZTHAYBKDUYRJELNMVFKWWYUJH2V2Y54W4CM&amount=99999&note=HELLO%20WORLD%20NOTE&xnote=HELLO%20WORLD%20XNOTE&label=HELLO%20WORLD%20LABEL,,
Keyreg,"senderAddress*, type*, voteKey, selkey, sprfkey, votefst, votelst, votekd, fee, note, xnote",keyreg/?senderAddress=$ADDRESS&type=$TYPE&voteKey=$VOTE_KEY&selkey=$SELKEY&sprfkey=$SPFRKEY&votefst=$VOTEFST&votelst=$VOTELST&votekd=$VOTEKD&fee=$FEE&note=$NOTE&xnote=XNOTE,perawallet://$ADDRESS?type=keyreg&selkey=$SELKEY&sprfkey=$SPRFKEY&votefst=$VOTEFST&votekd=$VOTEKD&votekey=$VOTEKEY&votelst=$VOTELST&fee=$FEE&note=$NOTE,0,SendKeyRegTransactionScreen,KeyRegTransactionFragment or Show Error,perawallet://5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA?type=keyreg&selkey=-lfw-Y04lTnllJfncgMjXuAePe8i8YyVeoR9c1Xi78c&sprfkey=3NoXc2sEWlvQZ7XIrwVJjgjM30ndhvwGgcqwKugk1u5W_iy_JITXrykuy0hUvAxbVv0njOgBPtGFsFif3yLJpg&votefst=1300&votekd=100&votekey=UU8zLMrFVfZPnzbnL6ThAArXFsznV3TvFVAun2ONcEI&votelst=11300&fee=2000000&note=Consensus%2Bparticipation%2Bftw,,https://perawallet.app/qr/perawallet/5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA?type=keyreg&selkey=-lfw-Y04lTnllJfncgMjXuAePe8i8YyVeoR9c1Xi78c&sprfkey=3NoXc2sEWlvQZ7XIrwVJjgjM30ndhvwGgcqwKugk1u5W_iy_JITXrykuy0hUvAxbVv0njOgBPtGFsFif3yLJpg&votefst=1300&votekd=100&votekey=UU8zLMrFVfZPnzbnL6ThAArXFsznV3TvFVAun2ONcEI&votelst=11300&fee=2000000&note=Consensus%2Bparticipation%2Bftw,,perawallet://app/keyreg/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&type=keyreg&selkey=-lfw-Y04lTnllJfncgMjXuAePe8i8YyVeoR9c1Xi78c&sprfkey=3NoXc2sEWlvQZ7XIrwVJjgjM30ndhvwGgcqwKugk1u5W_iy_JITXrykuy0hUvAxbVv0njOgBPtGFsFif3yLJpg&votefst=1300&votekd=100&votekey=UU8zLMrFVfZPnzbnL6ThAArXFsznV3TvFVAun2ONcEI&votelst=11300&fee=2000000&note=Consensus%2Bparticipation%2Bftw,,https://perawallet.app/qr/perawallet/app/keyreg/?address=5CYNWZY5JO7RWAPEQLWOTDULMDSSKJ55PHXNRTGZXUR62B7PR7JIDJGHEA&type=keyreg&selkey=-lfw-Y04lTnllJfncgMjXuAePe8i8YyVeoR9c1Xi78c&sprfkey=3NoXc2sEWlvQZ7XIrwVJjgjM30ndhvwGgcqwKugk1u5W_iy_JITXrykuy0hUvAxbVv0njOgBPtGFsFif3yLJpg&votefst=1300&votekd=100&votekey=UU8zLMrFVfZPnzbnL6ThAArXFsznV3TvFVAun2ONcEI&votelst=11300&fee=2000000&note=Consensus%2Bparticipation%2Bftw,,
Recover Address,mnemonic*,recover-address/?mnemonic=$MNEMONIC,"{""mnemonic"": ""$MNEMONIC ""}",0,AccountRecoverVC,RecoverWithPassphraseFragment,"{""mnemonic"": ""sample soap trip gasp bracket hint wool lend syrup elbow tip gesture moral lion elegant disease scissors tragic goddess guess burger brand card absorb know""}",,"{""mnemonic"": ""sample soap trip gasp bracket hint wool lend syrup elbow tip gesture moral lion elegant disease scissors tragic goddess guess burger brand card absorb know""}",,"perawallet://app/recover-address/?mnemonic=twenty,effort,goddess,rabbit,help,main,behind,ankle,disease,often,define,fine,shy,excuse,segment,truth,canoe,bus,hammer,object,edge,scare,father,about,super",,"https://perawallet.app/qr/perawallet/app/recover-address/?mnemonic=twenty,effort,goddess,rabbit,help,main,behind,ankle,disease,often,define,fine,shy,excuse,segment,truth,canoe,bus,hammer,object,edge,scare,father,about,super",,
Web Import,"backupId*, encryptionKey*, action*, version, platform, modificationKey","{""version"":""$VERSION"",""action"":""$ACTION"",""platform"":""$PLATFORM"",""backupId"":""BACKUP_ID"",""encryptionKey"":""$ENCRYPTION_KEY""}","{""version"":""$VERSION"",""action"":""$ACTION"",""platform"":""$PLATFORM"",""backupId"":""BACKUP_ID"",""encryptionKey"":""$ENCRYPTION_KEY""}",0,WebImportInstructionScreen,WebImportIntroFragment,"{""version"":""1"",""action"":""import"",""platform"":""web"",""backupId"":""c96f4523-cd44-4fb8-9418-52efc33191ac"",""encryptionKey"":""140,20,240,110,205,146,175,35,55,117,112,217,146,152,138,174,174,46,116,95,144,166,150,212,224,227,114,215,39,165,35,50""}",,"{""version"":""1"",""action"":""import"",""platform"":""web"",""backupId"":""c96f4523-cd44-4fb8-9418-52efc33191ac"",""encryptionKey"":""140,20,240,110,205,146,175,35,55,117,112,217,146,152,138,174,174,46,116,95,144,166,150,212,224,227,114,215,39,165,35,50""}",,"perawallet://app/web-import/?backupId=c96f4523-cd44-4fb8-9418-52efc33191ac&encryptionKey=140,20,240,110,205,146,175,35,55,117,112,217,146,152,138,174,174,46,116,95,144,166,150,212,224,227,114,215,39,165,35,50&action=import",,"https://perawallet.app/qr/perawallet/app/web-import/?backupId=c96f4523-cd44-4fb8-9418-52efc33191ac&encryptionKey=140,20,240,110,205,146,175,35,55,117,112,217,146,152,138,174,174,46,116,95,144,166,150,212,224,227,114,215,39,165,35,50&action=import",,You should test this on staging
